seconds_since_last_llm_call,hour_of_day,is_weekend,app_category,title_length,app_changed,is_first_time_app_today,switches_last_5min,title_semantic_similarity_to_previous,worth_flagging
inf,9,False,browser,5,True,True,0,0.0,1
31.0,9,False,browser,7,False,False,1,0.3370339870452881,1
27.0,9,False,browser,7,False,False,2,1.0,0
39.0,9,False,browser,29,False,False,3,0.10767611861228943,1
134.0,9,False,browser,29,False,False,4,1.0,0
189.0,9,False,browser,7,False,False,5,0.10767611861228943,0
250.0,9,False,other,0,True,True,5,0.2427748292684555,1
212.0,9,False,other,0,False,False,2,1.0,0
395.0,9,False,chat,15,True,True,1,0.10489481687545776,0
439.0,9,False,chat,15,False,False,2,1.0,0
470.0,9,False,chat,15,False,False,3,1.0,1
96.0,9,False,chat,15,False,False,3,1.0,0
307.0,9,False,chat,8,True,True,1,0.2555195987224579,1
142.0,9,False,chat,8,False,False,1,1.0,0
167.0,9,False,chat,8,False,False,2,1.0,0
319.0,9,False,chat,8,False,False,2,1.0,0
335.0,9,False,chat,8,False,False,3,1.0,1
25.0,9,False,chat,8,False,False,4,1.0,1
102.0,9,False,chat,15,True,False,4,0.2555195987224579,1
46.0,9,False,chat,15,False,False,4,1.0,0
222.0,9,False,chat,15,False,False,2,1.0,0
382.0,9,False,chat,15,False,False,1,1.0,0
428.0,9,False,chat,15,False,False,2,1.0,0
596.0,9,False,chat,15,False,False,2,1.0,0
776.0,9,False,chat,15,False,False,1,1.0,0
839.0,9,False,chat,15,False,False,2,1.0,0
946.0,9,False,other,0,True,False,2,0.10489481687545776,1
238.0,9,False,other,0,False,False,1,1.0,0
297.0,9,False,document,18,True,True,2,0.09299242496490479,1
231.0,9,False,document,18,False,False,2,1.0,0
303.0,9,False,chat,8,True,True,1,0.16481518745422363,1
148.0,9,False,chat,11,False,False,2,0.2170764058828354,0
302.0,9,False,chat,11,False,False,1,1.0,0
409.0,9,False,chat,11,False,False,2,1.0,0
544.0,10,False,chat,8,False,False,2,0.2170764058828354,0
769.0,10,False,chat,8,False,False,1,1.0,0
814.0,10,False,chat,11,False,False,2,0.2170764058828354,0
917.0,10,False,chat,8,True,False,2,0.12101151794195175,0
1057.0,10,False,chat,8,False,False,3,1.0,1
179.0,10,False,chat,8,False,False,1,1.0,0
380.0,10,False,other,0,True,False,1,0.16927768290042877,0
460.0,10,False,other,0,False,False,2,1.0,0
465.0,10,False,other,0,False,False,3,1.0,0
598.0,10,False,document,18,True,False,3,0.09299242496490479,0
825.0,10,False,chat,8,True,False,1,0.07372437417507172,1
44.0,10,False,chat,8,False,False,2,1.0,0
187.0,10,False,chat,8,False,False,2,1.0,0
345.0,10,False,document,18,True,False,1,0.07372437417507172,0
378.0,10,False,document,18,False,False,2,1.0,0
444.0,10,False,chat,15,True,False,3,0.1011812835931778,1
26.0,10,False,chat,15,False,False,4,1.0,0
225.0,10,False,other,0,True,False,3,0.10489481687545776,1
37.0,10,False,other,0,False,False,3,1.0,0
109.0,10,False,other,0,False,False,2,1.0,0
168.0,10,False,other,0,False,False,3,1.0,0
355.0,10,False,chat,15,True,False,2,0.10489481687545776,0
472.0,10,False,chat,15,False,False,1,1.0,0
540.0,10,False,chat,8,True,False,2,0.054968830198049545,0
550.0,10,False,chat,12,False,False,3,0.4567888677120209,0
705.0,10,False,chat,8,False,False,3,0.4567888677120209,1
inf,9,False,chat,8,True,True,0,0.0,1
85.0,9,False,ide,33,True,True,1,0.14440710842609406,0
212.0,9,False,ide,33,False,False,2,1.0,0
257.0,9,False,ide,33,False,False,3,1.0,0
282.0,9,False,ide,33,False,False,4,1.0,1
22.0,9,False,browser,7,True,True,4,0.13201919198036194,1
108.0,9,False,browser,29,False,False,4,0.10767611861228943,0
176.0,9,False,browser,7,False,False,5,0.10767611861228943,1
163.0,9,False,browser,29,False,False,2,0.10767611861228943,0
317.0,9,False,browser,7,False,False,1,0.10767611861228943,0
388.0,9,False,browser,5,False,False,2,0.3370339870452881,0
473.0,9,False,browser,7,False,False,2,0.3370339870452881,0
511.0,9,False,browser,5,False,False,3,0.3370339870452881,1
122.0,9,False,browser,5,False,False,3,1.0,0
129.0,9,False,browser,29,False,False,4,0.12991370260715485,1
30.0,9,False,browser,7,False,False,5,0.10767611861228943,1
134.0,9,False,browser,29,False,False,4,0.10767611861228943,1
230.0,9,False,browser,5,False,False,1,0.12991370260715485,0
329.0,9,False,browser,29,False,False,1,0.12991370260715485,0
547.0,9,False,browser,5,False,False,1,0.12991370260715485,0
708.0,9,False,browser,5,False,False,1,1.0,0
883.0,9,False,chat,15,True,True,1,0.4214235842227936,0
914.0,9,False,terminal,10,True,True,2,0.10581662505865097,1
34.0,9,False,browser,5,True,False,3,0.07745227217674255,1
